CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(=O)O)CC(=O)O	ZINC000000001317
O=C1c2c(O)cccc2Cc2cccc(O)c21	ZINC000000001322
O=C1c2c(O)cccc2Cc2cccc(O)c21	ZINC000000001322
C[NH+](C)CCC=C1c2ccccc2CSc2ccccc21	ZINC000000001329
C[NH+](C)CCC=C1c2ccccc2COc2ccccc21	ZINC000000001331
CC[N+](C)(C)c1cccc(O)c1	ZINC000000001341
CC[N+](C)(C)c1cccc(O)c1	ZINC000000001341
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	ZINC000000001370
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	ZINC000000001382
C#CC1(OC(N)=O)CCCCC1	ZINC000000001385
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	ZINC000000001402
CCOC(=O)c1cncn1C(C)c1ccccc1	ZINC000000001408
C=CCc1ccc(O)c(OC)c1	ZINC000000001411
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1	ZINC000000001427
O=C1NCC2(CC[NH+](CCc3ccccc3)CC2)O1	ZINC000000001441
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1	ZINC000000001441
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21	ZINC000000001460
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	ZINC000000001464
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)[nH+]c1N	ZINC000000001473
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N	ZINC000000001473
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1	ZINC000000001505
NC(=[NH2+])NN=Cc1c(Cl)cccc1Cl	ZINC000000001522
N=C(N)NN=Cc1c(Cl)cccc1Cl	ZINC000000001522
NC(=[NH2+])c1ccc(C=Cc2ccc(C(N)=[NH2+])cc2O)cc1	ZINC000000001547
NC(=[NH2+])c1ccc(C=Cc2ccc(C(N)=[NH2+])cc2O)cc1	ZINC000000001547
O=C(O)c1ccccc1O	ZINC000000001554
CCC(=O)C1(c2cccc(O)c2)CC[NH+](C)CC1	ZINC000000001600
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1	ZINC000000001600
c1coc(CNc2ncnc3nc[nH]c23)c1	ZINC000000001601
c1coc(CNc2ncnc3[nH]cnc23)c1	ZINC000000001601
CC[NH2+]C(C)Cc1cccc(C(F)(F)F)c1	ZINC000000001612
NS(=O)(=O)c1ccc(C[NH3+])cc1	ZINC000000001644
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	ZINC000000001655
CC1CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1	ZINC000000001672
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1	ZINC000000001672
CC1=CC(=O)c2ccccc2C1=O	ZINC000000001677
CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1	ZINC000000001681
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	ZINC000000001681
Cc1cc(CC[NH+]2CCN(c3cccc(Cl)c3)CC2)[nH]n1	ZINC000000001682
Cc1cc(CC[NH+]2CCN(c3cccc(Cl)c3)CC2)n[nH]1	ZINC000000001682
Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1	ZINC000000001682
Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)[nH]n1	ZINC000000001682
COc1ccc(O)cc1	ZINC000000001684
Nc1ccc(O)c(C(=O)O)c1	ZINC000000001688
[NH3+]c1ccc(O)c(C(=O)O)c1	ZINC000000001688
CC([NH3+])C(O)c1cccc(O)c1	ZINC000000001695
COC(=O)c1cccnc1	ZINC000000001706
CC(C)(C(=O)c1cccnc1)c1cccnc1	ZINC000000001728
NC1CC(N2CCCCC2)NC(N)N1O	ZINC000000001735
Oc1ccc(OCc2ccccc2)cc1	ZINC000000001748
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2	ZINC000000001758
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CC[NH+]3CC2CC2)C1O5	ZINC000000001773
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CC[NH+]3CC2CC2)C1O5	ZINC000000001773
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	ZINC000000001773
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	ZINC000000001792
O=C(O)c1cccnc1	ZINC000000001795
C[NH+]1CCCC1c1cccnc1	ZINC000000001798
C[NH+]1CCCC1c1cccnc1	ZINC000000001798
CN1CCCC1c1cccnc1	ZINC000000001798
C[NH+](C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21	ZINC000000001850
Oc1ccc(Cl)cc1	ZINC000000001885
Oc1ccc(Cl)cc1	ZINC000000001885
CC1OC(C)OC(C)O1	ZINC000000001886
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	ZINC000000001894
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21	ZINC000000001894
CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1	ZINC000000001898
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1	ZINC000000001899
NC(=O)NC(=O)Cc1ccccc1	ZINC000000001916
CC([NH3+])C(O)c1ccccc1	ZINC000000001930
C[NH+](C)CCOc1ccccc1Cc1ccccc1	ZINC000000001931
CN(C)CCOc1ccccc1Cc1ccccc1	ZINC000000001931
Cc1ccc(=O)n(-c2ccccc2)c1	ZINC000000001958
C[NH+]1CCC(=C2c3ccccc3CCc3sccc32)CC1	ZINC000000001968
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1	ZINC000000001968
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1	ZINC000000001971
CCC1(c2ccccc2)C(=O)NCNC1=O	ZINC000000001979
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	ZINC000000001982
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O	ZINC000000001984
NC(=O)c1cnccn1	ZINC000000002005
CN(C)C(=O)Oc1ccc[n+](C)c1	ZINC000000002009
Oc1cccc(O)c1	ZINC000000002028
CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2	ZINC000000002041
CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21	ZINC000000002042
CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21	ZINC000000002042
C[NH+](C)CCOC(c1ccc(Cl)cc1)c1ccccn1	ZINC000000002043
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1	ZINC000000002043
NC(=O)c1ccccc1O	ZINC000000002055
NC(=O)c1ccccc1O	ZINC000000002055
CC1CCC(C(C)C)C(OC(=O)c2ccccc2O)C1	ZINC000000002060
O=C(Oc1ccccc1C(=O)O)c1ccccc1O	ZINC000000002062
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O	ZINC000000002092
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC	ZINC000000002094
