MoleculeID;PBFE(ERF);PBFE(RF);PBFE(DNN);PBFE(KNN);PBFE(SVR);PBFE(εSVR);PBFE(LR)
APVD_1171_ZINC;	-9.168; -9.183; -9.187; -7.328; -8.577; -9.120; -8.662
APVD_1172_ZINC;	-9.084; -9.075; -9.084; -7.126; -8.786; -9.081; -8.825
APVD_1173_ZINC;	-8.854; -8.951; -10.185; -9.580; -11.117; -10.876; -11.022
APVD_1174_ZINC;	-7.845; -7.651; -8.315; -8.514; -7.519; -7.809; -7.686
APVD_1175_ZINC;	-7.444; -7.310; -7.998; -7.102; -7.475; -7.365; -7.512
APVD_1176_ZINC;	-7.473; -7.444; -8.033; -7.517; -7.535; -7.484; -7.587
APVD_1177_ZINC;	-9.005; -8.983; -9.362; -6.860; -8.916; -9.128; -8.974
APVD_1178_ZINC;	-9.023; -8.986; -9.363; -6.860; -8.919; -9.131; -8.977
APVD_1179_ZINC;	-8.867; -8.822; -9.370; -8.743; -9.188; -9.220; -9.136
APVD_1180_ZINC;	-8.845; -8.957; -9.108; -6.965; -8.092; -8.899; -8.223
APVD_1181_ZINC;	-9.027; -9.105; -8.843; -8.325; -8.108; -8.878; -8.266
APVD_1182_ZINC;	-8.074; -8.480; -8.340; -8.126; -8.339; -7.845; -8.348
APVD_1183_ZINC;	-8.486; -8.788; -8.876; -7.499; -8.681; -8.339; -8.624
APVD_1184_ZINC;	-8.537; -8.828; -8.839; -8.535; -8.479; -8.341; -8.475
APVD_1185_ZINC;	-5.923; -5.697; -5.876; -6.123; -5.657; -5.929; -5.637
APVD_1186_ZINC;	-5.929; -5.703; -5.874; -6.123; -5.654; -5.932; -5.635
APVD_1187_ZINC;	-9.193; -9.039; -9.623; -9.011; -8.649; -9.154; -8.873
APVD_1188_ZINC;	-8.284; -8.612; -7.944; -9.083; -7.873; -7.782; -8.073
APVD_1189_ZINC;	-9.019; -8.950; -8.761; -8.809; -8.070; -8.556; -8.087
APVD_1190_ZINC;	-6.458; -6.346; -6.923; -6.472; -6.879; -6.887; -6.953
APVD_1191_ZINC;	-6.458; -6.344; -6.923; -6.472; -6.879; -6.887; -6.953
APVD_1192_ZINC;	-7.494; -6.991; -8.218; -9.014; -6.702; -7.598; -6.779
APVD_1193_ZINC;	-5.758; -5.603; -5.319; -5.008; -5.023; -5.514; -5.142
APVD_1194_ZINC;	-5.758; -5.603; -5.319; -5.008; -5.023; -5.514; -5.142
APVD_1195_ZINC;	-5.768; -5.894; -5.367; -6.215; -5.072; -5.618; -4.936
APVD_1196_ZINC;	-8.639; -8.735; -8.299; -6.986; -7.954; -8.336; -8.095
APVD_1197_ZINC;	-8.751; -8.772; -8.061; -6.491; -8.147; -8.364; -8.273
APVD_1198_ZINC;	-8.360; -8.517; -8.651; -7.289; -8.288; -8.102; -8.259
APVD_1199_ZINC;	-8.568; -8.553; -8.837; -9.606; -8.383; -8.405; -8.448
APVD_1200_ZINC;	-8.532; -8.831; -9.107; -7.653; -8.521; -8.743; -8.524
APVD_1201_ZINC;	-8.360; -8.517; -8.651; -7.289; -8.288; -8.102; -8.259
APVD_1202_ZINC;	-8.568; -8.553; -8.837; -9.606; -8.383; -8.405; -8.448
APVD_1203_ZINC;	-8.532; -8.831; -9.107; -7.653; -8.521; -8.743; -8.524
APVD_1204_ZINC;	-8.611; -8.724; -8.885; -9.854; -8.352; -8.546; -8.495
APVD_1205_ZINC;	-8.422; -8.513; -8.847; -7.323; -8.331; -8.426; -8.350
APVD_1206_ZINC;	-8.462; -8.815; -8.906; -8.223; -8.479; -8.370; -8.434
APVD_1207_ZINC;	-7.483; -7.408; -8.175; -8.053; -7.535; -7.575; -7.747
APVD_1208_ZINC;	-7.419; -7.556; -8.142; -8.197; -7.690; -7.698; -7.895
APVD_1209_ZINC;	-7.494; -7.408; -8.178; -8.053; -7.539; -7.582; -7.751
APVD_1210_ZINC;	-7.473; -7.579; -8.150; -8.197; -7.698; -7.737; -7.901
APVD_1211_ZINC;	-8.587; -8.823; -8.016; -8.141; -7.620; -7.549; -7.854
APVD_1212_ZINC;	-6.855; -6.793; -7.753; -9.236; -6.979; -7.263; -7.063
APVD_1213_ZINC;	-6.856; -6.793; -7.752; -9.236; -6.978; -7.263; -7.063
APVD_1214_ZINC;	-8.179; -8.332; -8.885; -8.728; -7.992; -8.407; -8.058
APVD_1215_ZINC;	-8.182; -8.332; -8.888; -8.728; -7.994; -8.411; -8.060
APVD_1216_ZINC;	-10.203; -10.045; -9.832; -12.449; -10.149; -10.215; -9.950
APVD_1217_ZINC;	-9.568; -9.548; -9.828; -7.899; -10.588; -10.317; -10.457
